Name	Type	Unlock Prerequisite	Research Scrolls	Antique Tokens	Tier	Value	Crafting Time (seconds)	Crafting Time (formatted)	Value / Crafting Time	Merchant XP	Merchant XP / Crafting Time	Worker XP	Fusion XP	Favor	Airship Power		Required Worker 	Worker Level	Required Worker	Worker Level	Required Worker	Worker Level														Component	Component Quality	Amount Needed	Component	Component Quality	Amount Needed		ATK	DEF	HP	EVA	CRIT		Elemental Affinity	Spirit Affinity		Crafting Upgrade 1	Crafts Needed	Crafting Upgrade 2	Crafts Needed	Crafting Upgrade 3	Crafts Needed	Crafting Upgrade 4	Crafts Needed	Crafting Upgrade 5	Crafts Needed		Ascension Upgrade 1	Shards Needed	Ascension Upgrade 2	Shards Needed	Ascension Upgrade 3	Shards Needed		Discount Energy	Surcharge Energy	Suggest Energy	Speed Up Energy
Star Rod	Wand	Wise Scholar Pack	10	---	5	18500	2160	00:36:00	8.56	19500	9.03	293	1465	156	160		Scholar	11	Wizard	4	---	---		---	60	---	---	---	12	---	9	---	---	---		Deep Pearl	---	4	---	---	---		200	---	---	---	---		---	---		-25% Craft Time Reduction	9	-12 Wood Spent	22	Blueprint: Sylvanel	40	x1.25 Value Increase	60	Quality Chance x2	95		-2 Ironwood Spent	20	+10% Multicraft Chance	20	-1 Deep Pearl Spent	20		100	225	45	335
Peppermint Cane	Wand	Christmas Superior Offer	---	120	5	20000	2700	00:45:00	7.41	22500	8.33	338	1690	204	242		Scholar	12	Wizard	6	---	---		---	71	---	---	---	16	---	12	---	---	---		Mintyleaf Herb	Normal	1	Living Root	---	4		220	55	---	---	---		---	Christmas Spirit		-25% Craft Time Reduction	9	-14 Wood Spent	22	x1.25 Value Increase	40	-1 Mintyleaf Herb Spent	60	Quality Chance x2	95		-3 Ironwood Spent	20	+10% Multicraft Chance	20	-1 Living Root Spent	20		105	230	45	375
Sylvanel	Wand	Wise Scholar Pack	15	---	6	53500	4200	01:10:00	12.74	29500	7.02	443	2215	376	208		Scholar	14	Herbalist	10	---	---		---	99	---	25	---	25	---	---	---	---	---		Moon Crystal	---	5	Elven Wood	---	6		260	---	---	---	---		Earth	---		-25% Craft Time Reduction	9	-20 Wood Spent	22	Blueprint: Ruby Wand	40	x1.25 Value Increase	60	Quality Chance x2	95		-5 Ironwood Spent	25	+10% Multicraft Chance	25	-6 Elven Wood Spent	25		165	370	75	465
Chōchin Gohei	Wand	Tsukimi Superior Pack	---	140	6	71500	4800	01:20:00	14.9	33500	6.98	503	2515	296	269		Scholar	15	Wizard	11	---	---		---	113	---	---	---	29	---	---	---	---	---		Baton	Normal	1	White Sand	---	6		280	---	9	---	---		Earth	---		-25% Craft Time Reduction	10	-23 Wood Spent	24	x1.25 Value Increase	44	-1 Baton Spent	70	Quality Chance x2	110		-6 Ironwood Spent	25	+10% Multicraft Chance	25	-1 White Sand Spent	25		195	430	85	515
Ruby Wand	Wand	Wise Scholar Pack	25	---	7	100000	7800	02:10:00	12.82	42000	5.38	630	3150	485	264		Scholar	17	Wizard	13	---	---		---	141	---	---	9	36	---	---	---	---	---		Evil Eye	---	5	---	---	---		330	---	---	---	---		---	---		-25% Craft Time Reduction	10	-28 Wood Spent	24	Blueprint: Wand of Midas	44	x1.25 Value Increase	70	Quality Chance x2	110		-7 Ironwood Spent	30	+10% Multicraft Chance	30	-1 Evil Eye Spent	30		225	500	100	620
Owl Wing Wand	Wand	Champions Superior Offer	---	160	7	105000	9600	02:40:00	10.94	46500	4.84	698	3490	574	335		Scholar	18	Wizard	14	---	---		---	155	---	---	10	39	---	---	---	---	---		Evil Eye	---	5	---	---	---		350	---	11	---	---		Air	Owl Wisdom		-25% Craft Time Reduction	10	-31 Wood Spent	24	x1.25 Value Increase	44	-8 Ironwood Spent	70	Quality Chance x2	110		-8 Ironwood Spent	30	+10% Multicraft Chance	30	-1 Evil Eye Spent	30		230	515	105	675
Wand of Midas	Wand	Wise Scholar Pack	45	---	8	245000	16200	04:30:00	15.12	62500	3.86	938	4690	862	328		Scholar	21	Wizard	17	---	---		---	199	---	---	---	51	---	---	---	7	---		Song of Valor	Normal	2	Ancient Marble	---	5		410	---	---	---	---		Gold	---		-25% Craft Time Reduction	11	-40 Wood Spent	28	Blueprint: Evergreen Wand	50	x1.25 Value Increase	80	Quality Chance x2	125		-2 Jewels Spent	35	+10% Multicraft Chance	35	-1 Ancient Marble Spent	35		345	770	155	860
Evergreen Wand	Wand	Wise Scholar Pack	45	---	9	345000	27600	07:40:00	12.5	87000	3.15	1305	6525	1589	392		Scholar	23	Wizard	19	---	---		---	259	---	---	---	72	---	---	---	16	---		Spooky Ectoplasm	---	4	Living Root	---	8		490	---	---	---	---		Earth	---		-40% Craft Time Reduction	10	-52 Wood Spent	26	Blueprint: Astral Conductor	46	x1.25 Value Increase	70	Quality Chance x2	110		-3 Jewels Spent	40	-1 Spooky Ectoplasm Spent	40	+10% Multicraft Chance	40		410	910	180	1140
Equinox Rod	Wand	Fall Superior Pack	---	200	9	400000	33000	09:10:00	12.12	94000	2.85	1410	7050	1847	496		Scholar	24	Wizard	20	---	---		---	275	---	---	---	77	---	---	---	19	---		Ghastly Pennant	---	3	Moon Crystal	---	6		520	---	16	---	---		Earth	---		-40% Craft Time Reduction	10	-55 Wood Spent	26	x1.25 Value Increase	46	-15 Ironwood Spent	70	Quality Chance x2	110		-4 Jewels Spent	40	-3 Moon Crystal Spent	40	+10% Multicraft Chance	40		440	975	195	1220
Astral Conductor	Wand	Wise Scholar Pack	60	---	10	665000	46200	12:50:00	14.39	110000	2.38	1650	8250	2451	448		Scholar	25	Wizard	21	Priestess	18		---	306	---	---	---	87	---	---	---	25	---		Monster Manual	Normal	1	Crystal Lullaby	---	4		560	---	---	---	---		---	---		-20% Craft Time Reduction	9	-61 Wood Spent	22	Blueprint: Draconic Eyestalk	40	x1.25 Value Increase	65	Quality Chance x2	100		-5 Jewels Spent	45	-1 Crystal Lullaby Spent	45	+10% Multicraft Chance	45		840	1870	375	2480
Grimar's Grand Wand	Wand	Mystic Superior Offer	---	250	10	700000	47400	13:10:00	14.77	110000	2.32	1650	8250	2451	616		Scholar	25	Wizard	21	Priestess	18		---	306	---	---	---	87	---	---	25	---	---		Precious Shell	---	4	Chronos Crystal	---	2		560	140	---	---	---		---	---		-20% Craft Time Reduction	9	-61 Wood Spent	22	x1.25 Value Increase	40	-17 Ironwood Spent	65	Quality Chance x2	100		-5 Ether Spent	45	-2 Chronos Crystal Spent	45	+10% Multicraft Chance	45		865	1920	385	2480
Draconic Eyestalk	Wand	Wise Scholar Pack	85	---	11	1700000	67800	18:50:00	25.07	185000	2.73	2775	13875	3218	560		Scholar	27	Wizard	23	Priestess	20		---	338	---	---	---	98	---	---	---	31	---		Sigil of Spark	---	1	Grim Talon	---	4		700	---	---	---	---		---	---		-20% Craft Time Reduction	6	-68 Wood Spent	16	Blueprint: Herald of the End	28	x1.25 Value Increase	45	Quality Chance x2	70		-6 Jewels Spent	60	-1 Grim Talon Spent	60	+10% Multicraft Chance	60		1145	2545	510	2790
Opulent Wand	Wand	Opulent Chest	---	---	11	3450000	67800	18:50:00	50.88	185000	2.73	2775	13875	3218	560		Scholar	27	Wizard	23	Priestess	20		---	338	---	---	---	98	---	---	---	31	---		Opulent Jewel	---	5	Zirconia Eggshell	---	4		700	---	---	---	---		Gold	Quetzalcoatl Spirit		-20% Craft Time Reduction	6	-68 Wood Spent	16	x1.25 Value Increase	28	-20 Ironwood Spent	45	Quality Chance x2	70		-6 Jewels Spent	60	+10% Multicraft Chance	60	-1 Opulent Jewel Spent	60		1205	2680	535	2790
Moonlight Wand	Wand	Moon Festival Superior Pack	---	300	11	2000000	81000	22:30:00	24.69	200000	2.47	3000	15000	3263	686		Scholar	27	Wizard	23	Priestess	20		319	---	---	---	93	---	---	---	---	34	---		Sigil of Spark	---	1	Grim Talon	---	5		720	---	22	---	---		Dark	---		-20% Craft Time Reduction	6	-64 Iron Spent	16	x1.25 Value Increase	28	-19 Steel Spent	45	Quality Chance x2	70		-7 Jewels Spent	60	-1 Grim Talon Spent	60	+10% Multicraft Chance	60		1240	2750	550	2950
Herald of the End	Wand	Wise Scholar Pack	125	---	12	3050000	115800	32:10:00	26.34	375000	3.24	5625	28125	4782	704		Scholar	29	Wizard	25	Priestess	22		---	387	---	---	---	113	---	---	---	41	---		Sigil of True Spark	---	1	Raw Obsidian	---	2		880	---	---	---	---		Dark	---		-20% Craft Time Reduction	6	-77 Wood Spent	14	x1.25 Value Increase	26	Blueprint: Pyroquartz Rod	40	Quality Chance x2	60		-8 Jewels Spent	80	-34 Ironwood Spent	80	+10% Multicraft Chance	80		1515	3370	675	3290
Ivory Queen Rod	Wand	Checkmate Superior Pack	---	350	12	3250000	115800	32:10:00	28.07	375000	3.24	5625	28125	4255	968		Scholar	29	Wizard	25	Priestess	22		349	---	---	---	102	---	---	---	41	---	---		Sigil of True Spark	---	1	Zirconia Eggshell	---	3		880	220	---	---	---		Light	---		-20% Craft Time Reduction	6	-70 Iron Spent	14	x1.25 Value Increase	26	-10 Steel Spent	40	Quality Chance x2	60		-10 Steel Spent	80	-8 Ether Spent	80	+10% Multicraft Chance	80		1565	3475	695	3290
Fork of Roasting	Wand	Sugar Shack Superior Pack	---	350	12	3350000	138600	38:30:00	24.17	400000	2.89	6000	30000	5265	868		Scholar	30	Wizard	26	Cook	23		364	---	---	---	111	---	---	60	---	---	---		Sigil of True Might	---	1	Zirconia Eggshell	---	3		910	---	28	---	---		Fire	---		-20% Craft Time Reduction	6	-73 Iron Spent	14	-33 Steel Spent	26	x1.25 Value Increase	40	Quality Chance x2	60		-33 Steel Spent	80	-12 Oils Spent	80	+10% Multicraft Chance	80		1585	3525	705	3465
Pyroquartz Rod	Wand	Wise Scholar Pack	200	---	13	6350000	235800	65:30:00	26.93	470000	1.99	7050	35250	8496	920		Scholar	34	Wizard	30	Priestess	27		---	446	---	---	---	144	---	---	---	---	6		All-Seeing Eye	---	3	Deep Coral	---	2		1150	---	---	---	---		Fire	---		-20% Craft Time Reduction	4	-89 Wood Spent	10	-22 Ironwood Spent	18	x1.25 Value Increase	30	Quality Chance x2	45		-1 Essence Spent	100	-1 All-Seeing Eye Spent	100	+10% Multicraft Chance	100		2155	4790	960	4015
Light Crossbow	Crossbow	Crafty Engineer Pack	---	---	1	210	50	00:00:50	4.2	385	7.7	6	30	1	19		Engineer	1	---	---	---	---		---	8	---	---	---	---	---	---	---	---	---		---	---	---	---	---	---		24	---	---	---	---		---	---		x1.25 Value Increase	8	-25% Craft Time Reduction	20	-2 Wood Spent	36	Quality Chance x2	55	Quality Chance x3	85		-25% Craft Time Reduction	5	+20% Multicraft Chance	5	Quality Chance x3	5		10	25	5	25
Hand Crossbow	Crossbow	Crafty Engineer Pack	---	---	2	560	130	00:02:10	4.31	1400	10.77	21	105	16	37		Engineer	1	---	---	---	---		---	13	---	---	---	---	---	---	---	---	---		---	---	---	---	---	---		46	---	---	---	---		---	---		x1.25 Value Increase	8	-25% Craft Time Reduction	20	-3 Wood Spent	36	Quality Chance x2	55	Quality Chance x3	85		-25% Craft Time Reduction	5	+20% Multicraft Chance	5	Quality Chance x3	5		20	40	10	55
Arbalest	Crossbow	Crafty Engineer Pack	---	---	3	2000	370	00:06:10	5.41	4400	11.89	66	330	26	67		Engineer	1	---	---	---	---		---	19	---	---	---	---	---	---	---	---	---		Elven Wood	---	3	---	---	---		84	---	---	---	---		---	---		x1.25 Value Increase	7	-25% Craft Time Reduction	18	Blueprint: Heavy Crossbow	32	-4 Wood Spent	50	Quality Chance x3	80		-1 Elven Wood Spent	10	+10% Multicraft Chance	10	Quality Chance x3	10		35	75	15	110
Heavy Crossbow	Crossbow	Crafty Engineer Pack	6	---	4	5650	840	00:14:00	6.73	9400	11.19	141	705	52	102		Engineer	7	---	---	---	---		---	33	---	---	---	---	---	---	---	---	---		Webbed Wing	---	3	---	---	---		128	---	---	---	---		---	---		x1.25 Value Increase	8	-25% Craft Time Reduction	20	Blueprint: Hunter's Crossbow	36	-7 Wood Spent	55	Quality Chance x2	85		-25% Craft Time Reduction	15	+10% Multicraft Chance	15	-1 Webbed Wing Spent	15		55	125	25	190
Cluckthrower	Crossbow	Thanksgiving Superior Offer	---	100	4	9050	1350	00:22:30	6.7	14000	10.37	210	1050	79	153		Engineer	9	---	---	---	---		---	45	---	---	---	---	---	---	---	---	---		Precious Gem	---	3	Elven Wood	---	5		160	---	5	---	---		Air	---		x1.25 Value Increase	8	-25% Craft Time Reduction	20	x1.25 Value Increase	36	-9 Wood Spent	55	Quality Chance x2	85		-25% Craft Time Reduction	15	+10% Multicraft Chance	15	-3 Elven Wood Spent	15		70	160	30	260
Hunter's Crossbow	Crossbow	Crafty Engineer Pack	10	---	5	15500	1650	00:27:30	9.39	16500	10	248	1240	101	141		Engineer	10	---	---	---	---		---	54	---	12	---	---	---	---	---	---	---		Mintyleaf Herb	Normal	2	Living Root	---	4		176	---	---	---	---		---	---		-25% Craft Time Reduction	8	-11 Wood Spent	20	Blueprint: Scorpio	36	x1.25 Value Increase	55	Quality Chance x2	85		-2 Herbs Spent	20	+10% Multicraft Chance	20	-2 Mintyleaf Herb Spent	20		90	205	40	295
Scorpio	Crossbow	Crafty Engineer Pack	16	---	6	35000	4200	01:10:00	8.33	29500	7.02	443	2215	271	192		Engineer	14	Master	1	---	---		---	109	---	---	---	25	---	---	---	---	---		Moon Crystal	---	3	Webbed Wing	---	3		240	---	---	---	---		---	---		-25% Craft Time Reduction	9	-22 Wood Spent	22	Blueprint: Double Crossbow	40	x1.25 Value Increase	60	Quality Chance x2	95		-5 Ironwood Spent	25	+10% Multicraft Chance	25	-1 Moon Crystal Spent	25		135	305	60	465
Primitech Slingshot	Crossbow	Troublin Superior Pack	---	140	6	56500	6600	01:50:00	8.56	37500	5.68	563	2815	398	308		Engineer	16	Master	12	---	---		---	139	---	---	---	33	---	---	---	---	---		White Sand	---	4	Living Root	---	3		280	70	---	---	---		Earth	---		-25% Craft Time Reduction	10	-28 Wood Spent	24	-1 White Sand Spent	44	x1.25 Value Increase	70	Quality Chance x2	110		-13 Ironwood Spent	25	-1 Living Root Spent	25	+10% Multicraft Chance	25		170	380	75	565
Double Crossbow	Crossbow	Crafty Engineer Pack	25	---	7	130000	9000	02:30:00	14.44	46500	5.17	698	3490	565	256		Engineer	18	Master	14	---	---		---	171	---	---	---	39	---	---	---	---	---		Arbalest	Normal	2	Silk Scarab	---	5		320	---	---	---	---		---	---		-25% Craft Time Reduction	10	-34 Wood Spent	24	Blueprint: Chu-Ko-Nu	44	x1.25 Value Increase	70	Quality Chance x2	110		-2 Arbalest Spent	30	+10% Multicraft Chance	30	-1 Silk Scarab Spent	30		255	570	115	675
Chu-Ko-Nu	Crossbow	Crafty Engineer Pack	35	---	8	210000	17400	04:50:00	12.07	62500	3.59	938	4690	1145	304		Engineer	21	Master	17	---	---		---	219	---	---	26	51	---	---	---	---	---		Chronos Crystal	---	4	Bronze Fang	---	4		380	---	---	---	---		---	---		-25% Craft Time Reduction	11	-44 Wood Spent	28	Blueprint: Triple Crossbow	50	x1.25 Value Increase	80	Quality Chance x2	125		-10 Ironwood Spent	35	+10% Multicraft Chance	35	-1 Chronos Crystal Spent	35		320	715	145	860
Dra-Ko-Nu	Crossbow	Dragon Siblings Superior Offer	---	180	8	230000	21600	06:00:00	10.65	68000	3.15	1020	5100	1324	380		Engineer	21	Master	17	---	---		---	235	---	---	28	57	---	---	---	---	---		Overgrown Vine	---	4	White Sand	---	5		400	---	12	---	---		---	---		-25% Craft Time Reduction	11	-47 Wood Spent	28	x1.25 Value Increase	50	-11 Ironwood Spent	80	Quality Chance x2	125		-11 Ironwood Spent	35	+10% Multicraft Chance	35	-1 Overgrown Vine Spent	35		340	750	150	925
Triple Crossbow	Crossbow	Crafty Engineer Pack	45	---	9	355000	25800	07:10:00	13.76	87000	3.37	1305	6525	1775	368		Engineer	23	Master	19	---	---		---	285	---	---	---	72	---	---	---	16	---		Heavy Crossbow	Normal	3	Thread of Fate	---	3		460	---	---	---	---		---	---		-40% Craft Time Reduction	10	-57 Wood Spent	26	Blueprint: Super Repeater	46	x1.25 Value Increase	70	Quality Chance x2	110		-3 Jewels Spent	40	-1 Heavy Crossbow Spent	40	+10% Multicraft Chance	40		415	925	185	1140
Super Repeater	Crossbow	Crafty Engineer Pack	60	---	10	655000	39600	11:00:00	16.54	100000	2.53	1500	7500	2374	400		Engineer	25	Master	21	Blacksmith	18		---	319	---	---	---	82	---	---	---	22	---		Deep Coral	---	4	Ancient Marble	---	3		500	---	---	---	---		---	---		-20% Craft Time Reduction	10	-64 Wood Spent	26	Blueprint: Leviathan	46	x1.25 Value Increase	70	Quality Chance x2	110		-4 Jewels Spent	45	-1 Deep Coral Spent	45	+10% Multicraft Chance	45		835	1855	370	2335
Nightwing Caster	Crossbow	Halloween Superior Offer	---	250	10	690000	39600	11:00:00	17.42	100000	2.53	1500	7500	2374	550		Engineer	25	Master	21	Blacksmith	18		---	319	---	---	---	82	---	---	---	22	---		Precious Shell	---	4	Ghastly Pennant	---	2		500	125	---	---	---		Dark	---		-20% Craft Time Reduction	10	-64 Wood Spent	26	x1.25 Value Increase	46	-16 Ironwood Spent	70	Quality Chance x2	110		-4 Jewels Spent	45	-1 Precious Shell Spent	45	+10% Multicraft Chance	45		855	1905	380	2335
Leviathan	Crossbow	Crafty Engineer Pack	85	---	11	1900000	67800	18:50:00	28.02	185000	2.73	2775	13875	3592	520		Engineer	27	Master	23	Blacksmith	20		---	372	---	---	---	98	---	---	---	31	---		Sigil of Grace	---	1	Boreal Gale	---	4		650	---	---	---	---		Water	Shark Bloodlust		-20% Craft Time Reduction	6	-74 Wood Spent	16	Blueprint: Godslayer Arbalest	28	x1.25 Value Increase	45	Quality Chance x2	70		-6 Jewels Spent	60	-1 Boreal Gale Spent	60	+10% Multicraft Chance	60		1210	2685	535	2790
Opulent Crossbow	Crossbow	Opulent Chest	---	---	11	3500000	67800	18:50:00	51.62	185000	2.73	2775	13875	3592	520		Engineer	27	Master	23	Blacksmith	20		---	372	---	---	---	98	---	---	---	31	---		Opulent Jewel	---	5	Boreal Gale	---	3		650	---	---	---	---		Gold	Quetzalcoatl Spirit		-20% Craft Time Reduction	6	-74 Wood Spent	16	x1.25 Value Increase	28	-20 Ironwood Spent	45	Quality Chance x2	70		-6 Jewels Spent	60	-1 Opulent Jewel Spent	60	+10% Multicraft Chance	60		1215	2700	540	2790
Titan Crossbow	Crossbow	Reinhold's Secret Offer	---	300	11	2100000	81000	22:30:00	25.93	200000	2.47	3000	15000	4103	649		Engineer	27	Master	23	Blacksmith	20		---	390	---	---	---	103	---	---	---	34	---		Sigil of Grace	---	1	Grim Talon	---	5		680	---	21	---	---		---	---		x1.25 Value Increase	6	-117 Wood Spent	16	-30% Craft Time Reduction	28	-31 Ironwood Spent	45	Quality Chance x2	70		-7 Jewels Spent	60	-1 Grim Talon Spent	60	+10% Multicraft Chance	60		1265	2815	565	2950
Godslayer Arbalest	Crossbow	Crafty Engineer Pack	125	---	12	2950000	115800	32:10:00	25.47	375000	3.24	5625	28125	5340	656		Engineer	29	Master	25	Blacksmith	22		---	426	---	---	---	113	---	---	---	41	---		Sigil of True Grace	---	1	Magma Core	---	2		820	---	---	---	---		Light	---		-20% Craft Time Reduction	6	-85 Wood Spent	14	x1.25 Value Increase	26	Blueprint: Primarosa	40	Quality Chance x2	60		-8 Jewels Spent	80	-34 Ironwood Spent	80	+10% Multicraft Chance	80		1490	3315	665	3290
Baross' Backup	Crossbow	Airship Superior Pack	---	350	12	3200000	115800	32:10:00	27.63	375000	3.24	5625	28125	5227	902		Engineer	29	Master	25	Blacksmith	22		---	420	---	---	---	110	---	---	---	40	---		Sigil of True Grace	---	1	Crush Claw	---	3		820	205	---	---	---		Air	Shark Bloodlust		-25% Craft Time Reduction	6	-84 Wood Spent	14	x1.25 Value Increase	26	-28 Ironwood Spent	40	Quality Chance x2	60		-8 Jewels Spent	80	-1 Crush Claw Spent	80	+10% Multicraft Chance	80		1550	3445	690	3290
Primarosa	Crossbow	Crafty Engineer Pack	200	---	13	6150000	196800	54:40:00	31.25	445000	2.26	6675	33375	8218	840		Engineer	32	Master	28	Blacksmith	25		---	482	---	---	---	139	---	---	---	---	5		All-Seeing Eye	---	3	Silver Thistle	Superior	1		1050	---	---	---	---		Earth	---		-20% Craft Time Reduction	4	-28 Ironwood Spent	10	-96 Wood Spent	18	x1.25 Value Increase	30	Quality Chance x2	45		-1 Essence Spent	100	Component Quality Reduced	100	+10% Multicraft Chance	100		2120	4715	945	3830
Pellet Gun	Gun	Crafty Engineer Pack	---	---	1	400	80	00:01:20	5	730	9.13	11	55	12	30		Engineer	1	---	---	---	---		10	5	---	---	---	---	---	---	---	---	---		---	---	---	---	---	---		38	---	---	---	---		---	---		x1.25 Value Increase	8	-2 Iron Spent	20	-25% Craft Time Reduction	36	Quality Chance x2	55	Quality Chance x3	85		-25% Craft Time Reduction	5	+20% Multicraft Chance	5	Quality Chance x3	5		15	35	5	40
Handgun	Gun	Crafty Engineer Pack	---	---	2	840	190	00:03:10	4.42	2000	10.53	30	150	19	51		Engineer	1	---	---	---	---		15	7	---	---	---	---	---	---	---	---	---		---	---	---	---	---	---		64	---	---	---	---		---	---		x1.25 Value Increase	8	-3 Iron Spent	20	-25% Craft Time Reduction	36	Quality Chance x2	55	Quality Chance x3	85		-25% Craft Time Reduction	5	+20% Multicraft Chance	5	Quality Chance x3	5		25	50	10	70
Smoothbore	Gun	Crafty Engineer Pack	---	---	3	2450	470	00:07:50	5.21	5400	11.49	81	405	33	86		Engineer	1	---	---	---	---		23	11	---	---	---	---	---	---	---	---	---		Iron Pine Cone	---	3	---	---	---		108	---	---	---	---		---	---		x1.25 Value Increase	7	-25% Craft Time Reduction	18	Blueprint: Long Rifle	32	-5 Iron Spent	50	Quality Chance x3	80		-1 Iron Pine Cone Spent	10	+10% Multicraft Chance	10	Quality Chance x3	10		40	85	15	135
Long Rifle	Gun	Crafty Engineer Pack	6	---	4	9200	1020	00:17:00	9.02	10500	10.29	158	790	61	128		Engineer	8	---	---	---	---		37	17	---	---	---	---	---	---	---	---	---		Living Root	---	3	---	---	---		160	---	---	---	---		---	---		x1.25 Value Increase	8	-25% Craft Time Reduction	20	Blueprint: Blunderbuss	36	-7 Iron Spent	55	Quality Chance x2	85		-25% Craft Time Reduction	15	+10% Multicraft Chance	15	-1 Living Root Spent	15		70	160	30	225
Snowball Launcher	Gun	Winter Superior Offer	---	100	4	11500	1290	00:21:30	8.91	13000	10.08	195	975	79	194		Engineer	9	---	---	---	---		45	20	---	---	---	---	---	---	---	---	---		Deep Pearl	---	3	---	---	---		176	44	---	---	---		Water	---		x1.25 Value Increase	8	-9 Iron Spent	20	-25% Craft Time Reduction	36	-9 Iron Spent	55	Quality Chance x3	85		-1 Deep Pearl Spent	15	+10% Multicraft Chance	15	Quality Chance x3	15		80	180	35	260
Blunderbuss	Gun	Crafty Engineer Pack	10	---	5	21000	2700	00:45:00	7.78	21000	7.78	315	1575	170	184		Engineer	12	---	---	---	---		79	---	---	---	16	---	---	---	---	---	---		Rustwyrm Scale	---	4	Elven Wood	---	8		230	---	---	---	---		---	---		-25% Craft Time Reduction	9	-16 Iron Spent	22	Blueprint: Boomstick	40	x1.25 Value Increase	60	Quality Chance x2	95		-3 Steel Spent	20	+10% Multicraft Chance	20	-5 Elven Wood Spent	20		110	240	50	375
Boomstick	Gun	Crafty Engineer Pack	20	---	6	46000	4800	01:20:00	9.58	31000	6.46	465	2325	330	232		Engineer	15	Master	1	---	---		124	---	---	---	29	---	---	---	---	---	---		Moon Crystal	---	4	Precious Gem	---	3		290	---	---	---	---		---	---		-25% Craft Time Reduction	10	-25 Iron Spent	24	Blueprint: Kenora Mk. IV	44	x1.25 Value Increase	70	Quality Chance x2	110		-6 Steel Spent	25	+10% Multicraft Chance	25	-1 Moon Crystal Spent	25		155	345	70	515
Banana Gun	Gun	Fruity Superior Pack	---	140	6	56000	6000	01:40:00	9.33	34500	5.75	518	2590	357	298		Engineer	16	Master	1	---	---		---	---	---	127	---	---	---	33	---	---	---		Living Root	---	5	Moon Crystal	---	2		310	---	10	---	---		Water	---		-25% Craft Time Reduction	10	-25 Herbs Spent	24	x1.25 Value Increase	44	-1 Living Root Spent	70	Quality Chance x2	110		-7 Oils Spent	25	+10% Multicraft Chance	25	-1 Moon Crystal Spent	25		170	380	75	565
Pellet Popper	Gun	Arcade 2023 Superior Pack	---	140	6	58000	6000	01:40:00	9.67	34500	5.75	518	2590	347	360		Engineer	16	Master	1	---	---		---	---	---	124	---	---	---	33	---	---	---		Deep Pearl	---	5	White Sand	---	2		310	93	---	---	---		---	---		-25% Craft Time Reduction	10	-25 Herbs Spent	24	-7 Oils Spent	44	x1.25 Value Increase	70	Quality Chance x2	110		-1 Deep Pearl Spent	25	+10% Multicraft Chance	25	-1 White Sand Spent	25		175	385	75	565
Kenora Mk. IV	Gun	Crafty Engineer Pack	25	---	7	110000	9000	02:30:00	12.22	43000	4.78	645	3225	860	280		Engineer	18	Jeweler	14	---	---		171	78	---	---	39	---	---	---	---	---	---		Star Metal	---	4	White Sand	---	2		350	---	---	---	---		---	---		-25% Craft Time Reduction	10	-34 Iron Spent	24	Blueprint: Prototype Gatling	44	x1.25 Value Increase	70	Quality Chance x2	110		-8 Steel Spent	30	+10% Multicraft Chance	30	-2 White Sand Spent	30		235	525	105	675
Prototype Gatling	Gun	Crafty Engineer Pack	35	---	8	210000	16800	04:40:00	12.5	57500	3.42	863	4315	898	336		Engineer	21	Master	17	---	---		219	---	---	---	51	---	---	---	---	---	---		Handgun	Normal	4	Overgrown Vine	---	5		420	---	---	---	---		---	---		-25% Craft Time Reduction	11	-2 Handgun Spent	28	Blueprint: Dragonator	50	x1.25 Value Increase	80	Quality Chance x2	125		-10 Steel Spent	35	+10% Multicraft Chance	35	-1 Overgrown Vine Spent	35		320	715	145	860
Dragonator	Gun	Crafty Engineer Pack	45	---	9	370000	30000	08:20:00	12.33	86500	2.88	1298	6490	1943	424		Engineer	24	Master	20	---	---		302	---	---	---	77	---	---	---	---	11	---		Ember Element	Normal	2	Spooky Ectoplasm	---	4		530	---	---	---	---		Fire	---		-40% Craft Time Reduction	10	-60 Iron Spent	26	Blueprint: The Messenger	46	x1.25 Value Increase	70	Quality Chance x2	110		-2 Jewels Spent	40	-1 Spooky Ectoplasm Spent	40	+10% Multicraft Chance	40		425	940	190	1220
Handcask '65	Gun	Oktoberfest Superior Pack	---	200	9	425000	31800	08:50:00	13.36	86500	2.72	1298	6490	1943	584		Engineer	24	Master	20	---	---		302	---	---	---	77	---	---	---	---	11	---		Ghastly Pennant	---	3	Evil Eye	---	5		530	133	---	---	---		---	---		-40% Craft Time Reduction	10	-60 Iron Spent	26	x1.25 Value Increase	46	-15 Steel Spent	70	Quality Chance x2	110		-2 Jewels Spent	40	-1 Evil Eye Spent	40	+10% Multicraft Chance	40		450	1005	200	1220
The Messenger	Gun	Crafty Engineer Pack	60	---	10	665000	45600	12:40:00	14.58	100000	2.19	1500	7500	2569	464		Engineer	25	Master	21	Blacksmith	18		337	---	---	---	87	---	---	---	---	15	---		Crystal Lullaby	---	4	Ancient Marble	---	3		580	---	---	---	---		---	---		-20% Craft Time Reduction	9	-67 Iron Spent	22	Blueprint: Omega Disintegrator	40	x1.25 Value Increase	65	Quality Chance x2	100		-3 Jewels Spent	45	-1 Crystal Lullaby Spent	45	+10% Multicraft Chance	45		840	1870	375	2480
