Name	Type	Unlock Prerequisite	Research Scrolls	Antique Tokens	Tier	Value	Crafting Time (seconds)	Crafting Time (formatted)	Value / Crafting Time	Merchant XP	Merchant XP / Crafting Time	Worker XP	Fusion XP	Favor	Airship Power		Required Worker 	Worker Level	Required Worker	Worker Level	Required Worker	Worker Level													Component	Component Quality	Amount Needed	Component	Component Quality	Amount Needed		ATK	DEF	HP	EVA	CRIT		Elemental Affinity	Spirit Affinity		Crafting Upgrade 1	Crafts Needed	Crafting Upgrade 2	Crafts Needed	Crafting Upgrade 3	Crafts Needed	Crafting Upgrade 4	Crafts Needed	Crafting Upgrade 5	Crafts Needed		Ascension Upgrade 1	Shards Needed	Ascension Upgrade 2	Shards Needed	Ascension Upgrade 3	Shards Needed		Discount Energy	Surcharge Energy	Suggest Energy	Speed Up Energy
Hand Crossbow	Crossbow	Crafty Engineer Pack	---	---	2	560	130	00:02:10	4.31	1,400	10.77	21	105	16	37		Engineer	1	---	1	---	1		---	13	---	---	---	---	---	---	---	---		---	---	---	---	---	---		46	---	---	---	---		---	---		x1.25 Value Increase	8	-25% Craft Time Reduction	20	-3 Wood Spent	36	Quality Chance x2	55	Quality Chance x3	85		-25% Craft Time Reduction	5	+20% Multicraft Chance	5	Quality Chance x3	5		20	40	10	55
Arbalest	Crossbow	Crafty Engineer Pack	---	---	3	2,000	370	00:06:10	5.41	4,400	11.89	66	330	26	67		Engineer	1	---	1	---	1		---	19	---	---	---	---	---	---	---	---		Elven Wood	---	3	---	---	---		84	---	---	---	---		---	---		x1.25 Value Increase	7	-25% Craft Time Reduction	18	Blueprint: Heavy Crossbow	32	-4 Wood Spent	50	Quality Chance x3	80		-1 Elven Wood Spent	10	+10% Multicraft Chance	10	Quality Chance x3	10		35	75	15	110
Heavy Crossbow	Crossbow	Crafty Engineer Pack	6	---	4	5,650	840	00:14:00	6.73	9,400	11.19	141	705	52	102		Engineer	7	---	1	---	1		---	33	---	---	---	---	---	---	---	---		Webbed Wing	---	3	---	---	---		128	---	---	---	---		---	---		x1.25 Value Increase	8	-25% Craft Time Reduction	20	Blueprint: Hunter's Crossbow	36	-7 Wood Spent	55	Quality Chance x2	85		-25% Craft Time Reduction	15	+10% Multicraft Chance	15	-1 Webbed Wing Spent	15		55	125	25	190
Cluckthrower	Crossbow	Thanksgiving Superior Offer	---	100	4	9,050	1,350	00:22:30	6.70	14,000	10.37	210	1,050	79	153		Engineer	9	---	10	---	1		---	45	---	---	---	---	---	---	---	---		Precious Gem	---	3	Elven Wood	---	5		160	---	5	---	---		Air	---		x1.25 Value Increase	8	-25% Craft Time Reduction	20	x1.25 Value Increase	36	-9 Wood Spent	55	Quality Chance x2	85		-25% Craft Time Reduction	15	+10% Multicraft Chance	15	-3 Elven Wood Spent	15		70	160	30	260
Hunter's Crossbow	Crossbow	Crafty Engineer Pack	10	---	5	15,500	1,650	00:27:30	9.39	16,500	10.00	248	1,240	101	141		Engineer	10	---	1	---	1		---	54	---	12	---	---	---	---	---	---		Mintyleaf Herb	Normal	2	Living Root	---	4		176	---	---	---	---		---	---		-25% Craft Time Reduction	8	-11 Wood Spent	20	Blueprint: Scorpio	36	x1.25 Value Increase	55	Quality Chance x2	85		-2 Herbs Spent	20	+10% Multicraft Chance	20	-2 Mintyleaf Herb Spent	20		90	205	40	295
Scorpio	Crossbow	Crafty Engineer Pack	16	---	6	35,000	4,200	01:10:00	8.33	29,500	7.02	443	2,215	271	192		Engineer	14	Master	14	---	4		---	109	---	---	---	25	---	---	---	---		Moon Crystal	---	3	Webbed Wing	---	3		240	---	---	---	---		---	---		-25% Craft Time Reduction	9	-22 Wood Spent	22	Blueprint: Double Crossbow	40	x1.25 Value Increase	60	Quality Chance x2	95		-5 Ironwood Spent	25	+10% Multicraft Chance	25	-1 Moon Crystal Spent	25		135	305	60	465
Primitech Slingshot	Crossbow	Troublin Superior Pack	---	140	6	56,500	6,600	01:50:00	8.56	37,500	5.68	563	2,815	398	308		Engineer	16	Master	17	---	6		---	139	---	---	---	33	---	---	---	---		White Sand	---	4	Living Root	---	3		280	70	---	---	---		Earth	---		-25% Craft Time Reduction	10	-28 Wood Spent	24	-1 White Sand Spent	44	x1.25 Value Increase	70	Quality Chance x2	110		-13 Ironwood Spent	25	-1 Living Root Spent	25	+10% Multicraft Chance	25		170	380	75	565
Double Crossbow	Crossbow	Crafty Engineer Pack	25	---	7	130,000	9,000	02:30:00	14.44	46,500	5.17	698	3,490	565	256		Engineer	18	Master	14	---	8		---	171	---	---	---	39	---	---	---	---		Arbalest	Normal	2	Silk Scarab	---	5		320	---	---	---	---		---	---		-25% Craft Time Reduction	10	-34 Wood Spent	24	Blueprint: Chu-Ko-Nu	44	x1.25 Value Increase	70	Quality Chance x2	110		-2 Arbalest Spent	30	+10% Multicraft Chance	30	-1 Silk Scarab Spent	30		255	570	115	675
Chu-Ko-Nu	Crossbow	Crafty Engineer Pack	35	---	8	210,000	17,400	04:50:00	12.07	62,500	3.59	938	4,690	1,145	304		Engineer	21	Master	17	---	11		---	219	---	---	26	51	---	---	---	---		Chronos Crystal	---	4	Bronze Fang	---	4		380	---	---	---	---		---	---		-25% Craft Time Reduction	11	-44 Wood Spent	28	Blueprint: Triple Crossbow	50	x1.25 Value Increase	80	Quality Chance x2	125		-10 Ironwood Spent	35	+10% Multicraft Chance	35	-1 Chronos Crystal Spent	35		320	715	145	860
Dra-Ko-Nu	Crossbow	Dragon Siblings Superior Offer	---	180	8	230,000	21,600	06:00:00	10.65	68,000	3.15	1,020	5,100	1,324	380		Engineer	21	Master	17	---	12		---	235	---	---	28	57	---	---	---	---		Overgrown Vine	---	4	White Sand	---	5		400	---	12	---	---		---	---		-25% Craft Time Reduction	11	-47 Wood Spent	28	x1.25 Value Increase	50	-11 Ironwood Spent	80	Quality Chance x2	125		-11 Ironwood Spent	35	+10% Multicraft Chance	35	-1 Overgrown Vine Spent	35		340	750	150	925
Triple Crossbow	Crossbow	Crafty Engineer Pack	45	---	9	355,000	25,800	07:10:00	13.76	87,000	3.37	1,305	6,525	1,775	368		Engineer	23	Master	19	---	16		---	285	---	---	---	72	---	---	---	16		Heavy Crossbow	Normal	3	Thread of Fate	---	3		460	---	---	---	---		---	---		-40% Craft Time Reduction	10	-57 Wood Spent	26	Blueprint: Super Repeater	46	x1.25 Value Increase	70	Quality Chance x2	110		-3 Jewels Spent	40	-1 Heavy Crossbow Spent	40	+10% Multicraft Chance	40		415	925	185	1,140
Super Repeater	Crossbow	Crafty Engineer Pack	60	---	10	655,000	39,600	11:00:00	16.54	100,000	2.53	1,500	7,500	2,374	400		Engineer	25	Master	21	Blacksmith	18		---	319	---	---	---	82	---	---	---	22		Deep Coral	---	4	Ancient Marble	---	3		500	---	---	---	---		---	---		-20% Craft Time Reduction	10	-64 Wood Spent	26	Blueprint: Leviathan	46	x1.25 Value Increase	70	Quality Chance x2	110		-4 Jewels Spent	45	-1 Deep Coral Spent	45	+10% Multicraft Chance	45		835	1,855	370	2,335
Nightwing Caster	Crossbow	Halloween Superior Offer	---	250	10	690,000	39,600	11:00:00	17.42	100,000	2.53	1,500	7,500	2,374	550		Engineer	25	Master	21	Blacksmith	18		---	319	---	---	---	82	---	---	---	22		Precious Shell	---	4	Ghastly Pennant	---	2		500	125	---	---	---		Dark	---		-20% Craft Time Reduction	10	-64 Wood Spent	26	x1.25 Value Increase	46	-16 Ironwood Spent	70	Quality Chance x2	110		-4 Jewels Spent	45	-1 Precious Shell Spent	45	+10% Multicraft Chance	45		855	1,905	380	2,335
Leviathan	Crossbow	Crafty Engineer Pack	85	---	11	1,900,000	67,800	18:50:00	28.02	185,000	2.73	2,775	13,875	3,592	520		Engineer	27	Master	23	Blacksmith	20		---	372	---	---	---	98	---	---	---	31		Sigil of Grace	---	1	Boreal Gale	---	4		650	---	---	---	---		Water	Shark Bloodlust		-20% Craft Time Reduction	6	-74 Wood Spent	16	Blueprint: Godslayer Arbalest	28	x1.25 Value Increase	45	Quality Chance x2	70		-6 Jewels Spent	60	-1 Boreal Gale Spent	60	+10% Multicraft Chance	60		1,210	2,685	535	2,790
Opulent Crossbow	Crossbow	Opulent Chest	---	---	11	3,500,000	67,800	18:50:00	51.62	185,000	2.73	2,775	13,875	3,592	520		Engineer	27	Master	23	Blacksmith	20		---	372	---	---	---	98	---	---	---	31		Opulent Jewel	---	5	Boreal Gale	---	3		650	---	---	---	---		Gold	Quetzalcoatl Spirit		-20% Craft Time Reduction	6	-74 Wood Spent	16	x1.25 Value Increase	28	-20 Ironwood Spent	45	Quality Chance x2	70		-6 Jewels Spent	60	-1 Opulent Jewel Spent	60	+10% Multicraft Chance	60		1,215	2,700	540	2,790
Titan Crossbow	Crossbow	Reinhold's Secret Offer	---	300	11	2,100,000	81,000	22:30:00	25.93	200,000	2.47	3,000	15,000	4,103	649		Engineer	27	Master	23	Blacksmith	20		---	390	---	---	---	103	---	---	---	34		Sigil of Grace	---	1	Grim Talon	---	5		680	---	21	---	---		---	---		x1.25 Value Increase	6	-117 Wood Spent	16	-30% Craft Time Reduction	28	-31 Ironwood Spent	45	Quality Chance x2	70		-7 Jewels Spent	60	-1 Grim Talon Spent	60	+10% Multicraft Chance	60		1,265	2,815	565	2,950
Godslayer Arbalest	Crossbow	Crafty Engineer Pack	125	---	12	2,950,000	115,800	32:10:00	25.47	375,000	3.24	5,625	28,125	5,340	656		Engineer	29	Master	25	Blacksmith	22		---	426	---	---	---	113	---	---	---	41		Sigil of True Grace	---	1	Magma Core	---	2		820	---	---	---	---		Light	---		-20% Craft Time Reduction	6	-85 Wood Spent	14	x1.25 Value Increase	26	-17 Ironwood Spent	40	Quality Chance x2	60		-8 Jewels Spent	80	-17 Ironwood Spent	80	+10% Multicraft Chance	80		1,490	3,315	665	3,290
Baross' Backup	Crossbow	Airship Superior Pack	---	350	12	3,200,000	115,800	32:10:00	27.63	375,000	3.24	5,625	28,125	5,227	902		Engineer	29	Master	25	Blacksmith	22		---	420	---	---	---	110	---	---	---	40		Sigil of True Grace	---	1	Crush Claw	---	3		820	205	---	---	---		Air	Shark Bloodlust		-25% Craft Time Reduction	6	-84 Wood Spent	14	x1.25 Value Increase	26	-28 Ironwood Spent	40	Quality Chance x2	60		-8 Jewels Spent	80	-1 Crush Claw Spent	80	+10% Multicraft Chance	80		1,550	3,445	690	3,290
Pellet Gun	Gun	Crafty Engineer Pack	---	---	1	400	80	00:01:20	5	730	9.13	11	55	12	30		Engineer	1	---	1	---	1		10	5	---	---	---	---	---	---	---	---		---	---	---	---	---	---		38	---	---	---	---		---	---		x1.25 Value Increase	8	-2 Iron Spent	20	-25% Craft Time Reduction	36	Quality Chance x2	55	Quality Chance x3	85		-25% Craft Time Reduction	5	+20% Multicraft Chance	5	Quality Chance x3	5		15	35	5	40
Handgun	Gun	Crafty Engineer Pack	---	---	2	840	190	00:03:10	4.42	2,000	10.53	30	150	19	51		Engineer	1	---	1	---	1		15	7	---	---	---	---	---	---	---	---		---	---	---	---	---	---		64	---	---	---	---		---	---		x1.25 Value Increase	8	-3 Iron Spent	20	-25% Craft Time Reduction	36	Quality Chance x2	55	Quality Chance x3	85		-25% Craft Time Reduction	5	+20% Multicraft Chance	5	Quality Chance x3	5		25	50	10	70
Smoothbore	Gun	Crafty Engineer Pack	---	---	3	2,450	470	00:07:50	5.21	5,400	11.49	81	405	33	86		Engineer	1	---	1	---	1		23	11	---	---	---	---	---	---	---	---		Iron Pine Cone	---	3	---	---	---		108	---	---	---	---		---	---		x1.25 Value Increase	7	-25% Craft Time Reduction	18	Blueprint: Long Rifle	32	-5 Iron Spent	50	Quality Chance x3	80		-1 Iron Pine Cone Spent	10	+10% Multicraft Chance	10	Quality Chance x3	10		40	85	15	135
Long Rifle	Gun	Crafty Engineer Pack	6	---	4	9,200	1,020	00:17:00	9.02	10,500	10.29	158	790	61	128		Engineer	8	---	1	---	1		37	17	---	---	---	---	---	---	---	---		Living Root	---	3	---	---	---		160	---	---	---	---		---	---		x1.25 Value Increase	8	-25% Craft Time Reduction	20	Blueprint: Blunderbuss	36	-7 Iron Spent	55	Quality Chance x2	85		-25% Craft Time Reduction	15	+10% Multicraft Chance	15	-1 Living Root Spent	15		70	160	30	225
Snowball Launcher	Gun	Winter Superior Offer	---	100	4	11,500	1,290	00:21:30	8.91	13,000	10.08	195	975	79	194		Engineer	9	---	1	---	1		45	20	---	---	---	---	---	---	---	---		Deep Pearl	---	3	---	---	---		176	44	---	---	---		Water	---		x1.25 Value Increase	8	-9 Iron Spent	20	-25% Craft Time Reduction	36	-9 Iron Spent	55	Quality Chance x3	85		-1 Deep Pearl Spent	15	+10% Multicraft Chance	15	Quality Chance x3	15		80	180	35	260
Blunderbuss	Gun	Crafty Engineer Pack	10	---	5	21,000	2,700	00:45:00	7.78	21,000	7.78	315	1,575	170	184		Engineer	12	---	6	---	1		79	---	---	---	16	---	---	---	---	---		Rustwyrm Scale	---	4	Elven Wood	---	8		230	---	---	---	---		---	---		-25% Craft Time Reduction	9	-16 Iron Spent	22	Blueprint: Boomstick	40	x1.25 Value Increase	60	Quality Chance x2	95		-3 Steel Spent	20	+10% Multicraft Chance	20	-5 Elven Wood Spent	20		110	240	50	375
Boomstick	Gun	Crafty Engineer Pack	20	---	6	46,000	4,800	01:20:00	9.58	31,000	6.46	465	2,325	330	232		Engineer	15	Master	1	---	5		124	---	---	---	29	---	---	---	---	---		Moon Crystal	---	4	Precious Gem	---	3		290	---	---	---	---		---	---		-25% Craft Time Reduction	10	-25 Iron Spent	24	Blueprint: Kenora Mk. IV	44	x1.25 Value Increase	70	Quality Chance x2	110		-6 Steel Spent	25	+10% Multicraft Chance	25	-1 Moon Crystal Spent	25		155	345	70	515
Banana Gun	Gun	Fruity Superior Pack	---	140	6	56,000	6,000	01:40:00	9.33	34,500	5.75	518	2,590	357	298		Engineer	16	Master	1	---	6		---	---	---	127	---	---	---	33	---	---		Living Root	---	5	Moon Crystal	---	2		310	---	10	---	---		Water	---		-25% Craft Time Reduction	10	-25 Herbs Spent	24	x1.25 Value Increase	44	-1 Living Root Spent	70	Quality Chance x2	110		-7 Oils Spent	25	+10% Multicraft Chance	25	-1 Moon Crystal Spent	25		170	380	75	565
Kenora Mk. IV	Gun	Crafty Engineer Pack	25	---	7	110,000	9,000	02:30:00	12.22	43,000	4.78	645	3,225	860	280		Engineer	18	Jeweler	14	---	8		171	78	---	---	39	---	---	---	---	---		Star Metal	---	4	White Sand	---	2		350	---	---	---	---		---	---		-25% Craft Time Reduction	10	-34 Iron Spent	24	Blueprint: Prototype Gatling	44	x1.25 Value Increase	70	Quality Chance x2	110		-8 Steel Spent	30	+10% Multicraft Chance	30	-2 White Sand Spent	30		235	525	105	675
Prototype Gatling	Gun	Crafty Engineer Pack	35	---	8	210,000	16,800	04:40:00	12.50	57,500	3.42	863	4,315	898	336		Engineer	21	Master	17	---	11		219	---	---	---	51	---	---	---	---	---		Handgun	Normal	4	Overgrown Vine	---	5		420	---	---	---	---		---	---		-25% Craft Time Reduction	11	-2 Handgun Spent	28	Blueprint: Dragonator	50	x1.25 Value Increase	80	Quality Chance x2	125		-10 Steel Spent	35	+10% Multicraft Chance	35	-1 Overgrown Vine Spent	35		320	715	145	860
Dragonator	Gun	Crafty Engineer Pack	45	---	9	370,000	30,000	08:20:00	12.33	86,500	2.88	1,298	6,490	1,943	424		Engineer	24	Master	20	---	17		302	---	---	---	77	---	---	---	---	11		Ember Element	Normal	2	Spooky Ectoplasm	---	4		530	---	---	---	---		Fire	---		-40% Craft Time Reduction	10	-60 Iron Spent	26	Blueprint: The Messenger	46	x1.25 Value Increase	70	Quality Chance x2	110		-2 Jewels Spent	40	-1 Spooky Ectoplasm Spent	40	+10% Multicraft Chance	40		425	940	190	1,220
Handcask '65	Gun	Oktoberfest Superior Pack	---	200	9	425,000	31,800	08:50:00	13.36	86,500	2.72	1,298	6,490	1,943	584		Engineer	24	Master	20	---	17		302	---	---	---	77	---	---	---	---	11		Ghastly Pennant	---	3	Evil Eye	---	5		530	133	---	---	---		---	---		-40% Craft Time Reduction	10	-60 Iron Spent	26	x1.25 Value Increase	46	-15 Steel Spent	70	Quality Chance x2	110		-2 Jewels Spent	40	-1 Evil Eye Spent	40	+10% Multicraft Chance	40		450	1,005	200	1,220
The Messenger	Gun	Crafty Engineer Pack	60	---	10	665,000	45,600	12:40:00	14.58	100,000	2.19	1,500	7,500	2,569	464		Engineer	25	Master	21	Blacksmith	18		337	---	---	---	87	---	---	---	---	15		Crystal Lullaby	---	4	Ancient Marble	---	3		580	---	---	---	---		---	---		-20% Craft Time Reduction	9	-67 Iron Spent	22	Blueprint: Omega Disintegrator	40	x1.25 Value Increase	65	Quality Chance x2	100		-3 Jewels Spent	45	-1 Crystal Lullaby Spent	45	+10% Multicraft Chance	45		840	1,870	375	2,480
Oxen Impact	Gun	Year of the Ox Superior Offer	---	250	10	675,000	54,600	15:10:00	12.36	105,000	1.92	1,575	7,875	2,933	672		Engineer	26	Master	22	Blacksmith	19		354	---	---	---	93	---	---	---	---	17		Precious Shell	---	5	---	---	---		610	153	---	---	---		---	Ox Endurance		-20% Craft Time Reduction	9	-71 Iron Spent	22	x1.25 Value Increase	40	-19 Steel Spent	65	Quality Chance x2	100		-3 Jewels Spent	45	-1 Precious Shell Spent	45	+10% Multicraft Chance	45		850	1,885	375	2,635
Omega Disintegrator	Gun	Crafty Engineer Pack	85	---	11	1,700,000	65,400	18:10:00	25.99	170,000	2.60	2,550	12,750	3,351	576		Engineer	27	Master	23	Blacksmith	20		372	---	---	---	98	---	---	---	---	19		Sigil of Might	---	1	Zirconia Eggshell	---	4		720	---	---	---	---		Dark	---		-20% Craft Time Reduction	6	-74 Iron Spent	16	Blueprint: Blackbeard's Cannon	28	x1.25 Value Increase	45	Quality Chance x2	70		-4 Jewels Spent	60	-1 Zirconia Eggshell Spent	60	+10% Multicraft Chance	60		1,145	2,545	510	2,790
Opulent Pistol	Gun	Opulent Chest	---	---	11	3,400,000	65,400	18:10:00	51.99	170,000	2.60	2,550	12,750	3,351	576		Engineer	27	Master	23	Blacksmith	20		372	---	---	---	98	---	---	---	---	19		Opulent Jewel	---	5	Grim Talon	---	4		720	---	---	---	---		Gold	Quetzalcoatl Spirit		-20% Craft Time Reduction	6	-74 Iron Spent	16	x1.25 Value Increase	28	-20 Steel Spent	45	Quality Chance x2	70		-4 Jewels Spent	60	-1 Opulent Jewel Spent	60	+10% Multicraft Chance	60		1,200	2,665	535	2,790
Dogbone Blaster	Gun	Dog Superior Pack	---	300	11	2,000,000	65,400	18:10:00	30.58	170,000	2.60	2,550	12,750	3,351	691		Engineer	27	Master	23	Blacksmith	20		372	---	---	---	98	---	---	---	---	19		Sigil of Might	---	1	Grim Talon	---	4		720	---	23	---	---		---	Wolf Ferocity		-20% Craft Time Reduction	6	-74 Iron Spent	16	x1.25 Value Increase	28	-20 Steel Spent	45	Quality Chance x2	70		-4 Jewels Spent	60	-1 Grim Talon Spent	60	+10% Multicraft Chance	60		1,240	2,750	550	2,790
Blackbeard's Cannon	Gun	Crafty Engineer Pack	125	---	12	3,200,000	133,200	37:00:00	24.02	365,000	2.74	5,475	27,375	5,588	760		Engineer	30	Master	26	Blacksmith	23		445	---	---	---	123	---	---	---	---	27		Sigil of True Might	---	1	Magma Core	---	2		950	---	---	---	---		Water	---		-20% Craft Time Reduction	6	-89 Iron Spent	14	x1.25 Value Increase	26	-18 Steel Spent	40	Quality Chance x2	60		-5 Jewels Spent	80	-18 Steel Spent	80	+10% Multicraft Chance	80		1,550	3,445	690	3,465
Hotshot Carbine	Gun	Wild West Superior Pack	---	350	12	3,400,000	133,200	37:00:00	25.53	365,000	2.74	5,475	27,375	5,301	1,046		Engineer	30	Master	26	Blacksmith	23		---	430	---	---	---	115	---	---	---	25		Sigil of True Might	---	1	Crush Claw	---	3		950	238	---	---	---		Fire	---		-25% Craft Time Reduction	6	-108 Wood Spent	14	-23 Ironwood Spent	26	x1.25 Value Increase	40	Quality Chance x2	60		-5 Jewels Spent	80	-1 Crush Claw Spent	80	+10% Multicraft Chance	80		1,600	3,550	710	3,465
Mintyleaf Herb	Herbal Medicine	Herbalist	---	---	1	180	60	00:01:00	3	455	7.58	7	35	10	16		Herbalist	1	---	1	---	1		---	---	---	9	---	---	---	---	---	---		---	---	---	---	---	---		8	---	2	---	---		---	---		Blueprint: Warm Tea	8	Blueprint: Sweet Grass	20	x1.5 Value Increase	36	Quality Chance x2	55	Quality Chance x3	85		-50% Craft Time Reduction	5	+20% Multicraft Chance	5	Quality Chance x3	5		10	25	5	40
Sweet Grass	Herbal Medicine	---	1	---	2	700	140	00:02:20	5	1,200	8.57	18	90	16	25		Herbalist	2	---	1	---	1		---	---	---	14	---	---	---	---	---	---		Glow Shroom	---	2	---	---	---		13	---	3	---	---		---	---		x1.25 Value Increase	8	Blueprint: Moon Powder	20	-25% Craft Time Reduction	36	Quality Chance x2	55	Quality Chance x3	85		-50% Craft Time Reduction	5	+20% Multicraft Chance	5	Quality Chance x3	5		20	45	10	70
Moon Powder	Herbal Medicine	---	4	---	3	2,350	340	00:05:40	6.91	3,100	9.12	47	235	27	42		Herbalist	5	---	1	---	1		---	---	---	21	---	---	---	---	---	---		Mintyleaf Herb	Normal	1	Webbed Wing	---	2		21	---	5	---	---		---	---		x1.25 Value Increase	7	-25% Craft Time Reduction	18	Blueprint: Healing Salve	32	-4 Herbs Spent	50	Quality Chance x3	80		-1 Mintyleaf Herb Spent	10	+10% Multicraft Chance	10	Quality Chance x3	10		40	85	15	135
Magical Mistletoe	Herbal Medicine	Holiday Pack	---	75	3	3,150	480	00:08:00	6.56	3,950	8.23	59	295	39	59		Herbalist	6	---	1	---	1		---	---	---	26	---	---	---	---	---	---		Precious Gem	---	1	---	---	---		36	---	6	---	---		---	---		x1.25 Value Increase	7	-20% Craft Time Reduction	18	-5 Herbs Spent	32	-20% Craft Time Reduction	50	Quality Chance x3	80		-5 Herbs Spent	10	+10% Multicraft Chance	10	Quality Chance x3	10		45	95	20	165
Healing Salve	Herbal Medicine	---	6	---	4	4,100	780	00:13:00	5.26	6,100	7.82	92	460	50	65		Herbalist	8	---	1	---	1		---	---	---	34	---	---	---	---	---	---		Living Root	---	2	---	---	---		31	---	8	---	---		---	---		x1.25 Value Increase	8	-25% Craft Time Reduction	20	Blueprint: Silver Thistle	36	-7 Herbs Spent	55	Quality Chance x2	85		-25% Craft Time Reduction	15	+10% Multicraft Chance	15	-1 Living Root Spent	15		50	110	20	225
Venerable Oats	Herbal Medicine	Thanksgiving Mega Pack	---	100	4	8,650	930	00:15:30	9.3	7,300	7.85	110	550	71	81		Herbalist	9	---	1	---	1		---	---	---	41	---	---	---	---	---	---		Sweet Grass	Normal	1	Deep Pearl	---	2		51	---	8	---	---		---	---		x1.25 Value Increase	8	-25% Craft Time Reduction	20	x1.25 Value Increase	36	-8 Herbs Spent	55	Quality Chance x2	85		-25% Craft Time Reduction	15	+10% Multicraft Chance	15	-1 Sweet Grass Spent	15		70	155	30	260
Silver Thistle	Herbal Medicine	---	10	---	5	10,000	1,590	00:26:30	6.29	10,000	6.29	150	750	106	83		Herbalist	11	Priestess	4	---	1		---	---	---	60	---	---	---	12	---	---		Deep Pearl	---	3	Elven Wood	---	2		41	---	10	---	---		---	---		-25% Craft Time Reduction	9	-12 Herbs Spent	22	Blueprint: Bloodvine	40	x1.25 Value Increase	60	Quality Chance x2	95		-2 Oils Spent	20	+10% Multicraft Chance	20	-1 Deep Pearl Spent	20		75	165	35	335
Bountiful Harvest	Herbal Medicine	Harvest Season Pack	---	120	5	16,000	2,040	00:34:00	7.84	12,000	5.88	180	900	150	108		Herbalist	12	---	6	---	1		---	---	---	71	---	---	---	16	---	---		Living Root	---	4	---	---	---		66	---	11	---	---		---	---		-25% Craft Time Reduction	9	-14 Herbs Spent	22	x1.25 Value Increase	40	-14 Herbs Spent	60	Quality Chance x2	95		-8 Oils Spent	20	+10% Multicraft Chance	20	-1 Living Root Spent	20		95	210	40	375
Bloodvine	Herbal Medicine	---	15	---	6	24,500	3,000	00:50:00	8.17	15,500	5.17	233	1,165	216	107		Herbalist	14	Priestess	10	---	4		---	---	---	99	---	---	---	25	---	---		Bronze Fang	---	4	---	---	---		53	---	13	---	---		---	---		-25% Craft Time Reduction	9	-20 Herbs Spent	22	Blueprint: Mandragoroot	40	x1.25 Value Increase	60	Quality Chance x2	95		-5 Oils Spent	25	+10% Multicraft Chance	25	-1 Bronze Fang Spent	25		115	255	50	465
Fragrant Bouquet	Herbal Medicine	Worker Duo Mega Pack	---	140	6	37,000	3,600	01:00:00	10.28	17,500	4.86	263	1,315	296	136		Herbalist	15	Priestess	11	---	5		---	---	---	113	---	---	---	29	---	---		Moon Crystal	---	3	Silver Dust	---	3		83	---	14	---	---		---	---		-25% Craft Time Reduction	12	-23 Herbs Spent	30	x1.25 Value Increase	54	-6 Oils Spent	85	Quality Chance x2	135		-1 Moon Crystal Spent	25	-2 Silver Dust Spent	25	+10% Multicraft Chance	25		140	310	60	515
Lil' Cactus	Herbal Medicine	Wastelanders Mega Pack	---	140	6	35,000	3,600	01:00:00	9.72	17,500	4.86	263	1,315	287	149		Herbalist	15	Priestess	11	---	5		---	---	---	110	---	---	---	27	---	---		White Sand	---	4	---	---	---		55	---	21	---	---		Fire	---		-25% Craft Time Reduction	10	x1.25 Value Increase	24	-22 Herbs Spent	44	-5 Oils Spent	70	Quality Chance x2	110		-1 White Sand Spent	25	+10% Multicraft Chance	25	-1 White Sand Spent	25		135	305	60	515
Mandragoroot	Herbal Medicine	---	25	---	7	68,500	6,000	01:40:00	11.42	22,000	3.67	330	1,650	379	130		Herbalist	17	Priestess	13	---	7		---	---	---	141	---	---	---	36	---	---		Silk Scarab	---	4	Living Root	---	3		63	---	16	---	---		---	---		-25% Craft Time Reduction	10	-28 Herbs Spent	24	Blueprint: Wolf's Bane	44	x1.25 Value Increase	70	Quality Chance x2	110		-7 Oils Spent	30	+10% Multicraft Chance	30	-1 Silk Scarab Spent	30		190	420	85	620
Unwilting Rose	Herbal Medicine	True Love Mega Pack	---	160	7	100,000	8,400	02:20:00	11.9	27,000	3.21	405	2,025	591	191		Herbalist	19	Priestess	15	---	9		---	---	---	170	---	---	---	43	---	---		White Sand	---	6	Moon Crystal	---	6		70	---	27	---	---		---	---		-25% Craft Time Reduction	10	-34 Herbs Spent	24	-2 Moon Crystal Spent	44	x1.25 Value Increase	70	Quality Chance x2	110		-9 Oils Spent	30	+10% Multicraft Chance	30	-2 White Sand Spent	30		225	500	100	735
Wolf's Bane	Herbal Medicine	---	35	---	8	180,000	11,400	03:10:00	15.79	32,500	2.85	488	2,440	753	164		Herbalist	21	Priestess	17	---	11		---	---	---	199	---	---	---	51	5	---		Witch's Outfit	Normal	1	Chronos Crystal	---	4		80	---	20	---	---		Dark	---		-25% Craft Time Reduction	11	-40 Herbs Spent	28	Blueprint: Yggdrasil Branch	50	x1.25 Value Increase	80	Quality Chance x2	125		-2 Ether Spent	35	+10% Multicraft Chance	35	-1 Chronos Crystal Spent	35		300	665	135	860
Mistpeak Bloom	Herbal Medicine	Timeworn Chest	---	---	8	225,000	16,200	04:30:00	13.89	35,500	2.19	533	2,665	981	277		Herbalist	21	Priestess	17	---	12		---	---	---	214	---	---	---	57	6	---		Overgrown Vine	---	5	Deep Pearl	---	6		140	---	33	---	---		---	---		-25% Craft Time Reduction	11	-43 Herbs Spent	28	x1.25 Value Increase	50	-11 Oils Spent	80	Quality Chance x2	125		-2 Ether Spent	35	+10% Multicraft Chance	35	-1 Overgrown Vine Spent	35		325	725	145	925
